"Name","Value","ARCHIVE","SPONLY","GAMEDLL","CHEAT","USERINFO","NOTIFY","PROTECTED","PRINTABLEONLY","UNLOGGED","NEVER_AS_STRING","REPLICATED","DEMO","DONTRECORD","SERVER_CAN_EXECUTE","CLIENTCMD_CAN_EXECUTE","CLIENTDLL","SS","SS_ADDED",,"Help Text"
"_autosave","cmd",,,,,,,,,,,,,,,,,,,,"Autosave"
"_autosavedangerous","cmd",,,,,,,,,,,,,,,,,,,,"AutoSaveDangerous"
"_bugreporter_restart","cmd",,,,,,,,,,,,,,,,,,,,"Restarts bug reporter .dll"
"_cl_minimapzoom","1       ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,""
"_fov","0       ",,,,,,,,,,,,,,,,"CLIENTDLL",,,,"Automates fov command to server."
"_overview_mode","1       ","ARCHIVE",,,,,,,,,,,,,,,"CLIENTDLL",,,,"Overview mode - 0=off, 1=inset, 2=full
"
"_record","cmd",,,,,,,,,,,,,,,,,,,,"Record a demo incrementally."
"_resetgamestats","cmd",,,,,,,,,,,,,,,,,,,,"Erases current game stats and writes out a blank stats file"
"_restart","cmd",,,,,,,,,,,,,,,,,,,,"Shutdown and restart the engine."
"achievement_debug","0       ",,,,"CHEAT",,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,"Turn on achievement debug msgs."
"achievement_disable","0       ",,,"GAMEDLL","CHEAT",,,,,,,"REPLICATED",,,,,,,,,"Turn off achievements."
"actionpanel_frame","cmd",,,,,,,,,,,,,,,,,,,,"actionpanel set frame #"
"actionpanel_resize","cmd",,,,,,,,,,,,,,,,,,,,"actionpanel force re-layout"
"activategameui","cmd",,,,,,,,,,,,,,,,,,,,""
"addip","cmd",,,,,,,,,,,,,,,,,,,,"Add an IP address to the ban list."
"adsp_alley_min","122     ",,,,,,,,,,,,,,,,,,,,""
"adsp_courtyard_min","126     ",,,,,,,,,,,,,,,,,,,,""
"adsp_debug","0       ","ARCHIVE",,,,,,,,,,,,,,,,,,,""
"adsp_door_height","112     ",,,,,,,,,,,,,,,,,,,,""
"adsp_duct_min","106     ",,,,,,,,,,,,,,,,,,,,""
"adsp_hall_min","110     ",,,,,,,,,,,,,,,,,,,,""
"adsp_low_ceiling","108     ",,,,,,,,,,,,,,,,,,,,""
"adsp_opencourtyard_min","126     ",,,,,,,,,,,,,,,,,,,,""
"adsp_openspace_min","130     ",,,,,,,,,,,,,,,,,,,,""
"adsp_openstreet_min","118     ",,,,,,,,,,,,,,,,,,,,""
"adsp_openwall_min","130     ",,,,,,,,,,,,,,,,,,,,""
"adsp_room_min","102     ",,,,,,,,,,,,,,,,,,,,""
"adsp_street_min","118     ",,,,,,,,,,,,,,,,,,,,""
"adsp_tunnel_min","114     ",,,,,,,,,,,,,,,,,,,,""
"adsp_wall_height","128     ",,,,,,,,,,,,,,,,,,,,""
"ai_auto_contact_solver","1       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_block_damage","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_clear_bad_links","cmd",,,,,,,,,,,,,,,,,,,,"Clears bits set on nav links indicating link is unusable "
"ai_debug_assault","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_avoidancebounds","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_directnavprobe","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_doors","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_dyninteractions","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,"Debug the NPC dynamic interaction system."
"ai_debug_efficiency","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_enemies","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_expressions","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,"Show random expression decisions for NPCs."
"ai_debug_follow","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_loners","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_looktargets","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_los","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,"NPC Line-Of-Sight debug mode. If 1, solid entities that block NPC LOC will be highlighted with white bounding boxes. If 2, it'l"
